,ID,Date,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Community Areas,Wards
2638,11728056,06/17/2019 8:00:00 AM,089XX S ASHLAND AVE,THEFT,SMALL RETAIL STORE,TRUE,FALSE,2221,22,21,73,,,2019,06/24/2019 4:14:57 PM,,,,
2639,11736163,06/17/2019 8:00:00 AM,011XX S WABASH AVE,THEFT,OTHER,FALSE,FALSE,123,1,4,32,,,2019,06/27/2019 4:09:07 PM,,,,
2642,11725430,06/17/2019 8:00:00 AM,067XX S JEFFERY BLVD,THEFT,CTA BUS,FALSE,FALSE,332,3,5,43,,,2019,06/24/2019 4:14:57 PM,,,,
2643,11725737,06/17/2019 7:55:00 AM,054XX S PEORIA ST,BATTERY,STREET,FALSE,TRUE,934,9,20,61,,,2019,06/24/2019 4:14:57 PM,,,,
2644,11727071,06/17/2019 7:50:00 AM,037XX W POLK ST,BATTERY,STREET,FALSE,TRUE,1133,11,24,27,,,2019,06/24/2019 4:14:57 PM,,,,
2645,11725342,06/17/2019 7:45:00 AM,023XX W ARTHUR AVE,THEFT,STREET,FALSE,FALSE,2412,24,50,2,,,2019,06/24/2019 4:14:57 PM,,,,
2646,11725983,06/17/2019 7:45:00 AM,043XX W WEST END AVE,THEFT,STREET,FALSE,FALSE,1114,11,28,26,,,2019,06/24/2019 4:14:57 PM,,,,
2647,11727315,06/17/2019 7:44:00 AM,015XX W WEBSTER AVE,THEFT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1811,18,2,7,,,2019,06/24/2019 4:14:57 PM,,,,
2648,11725391,06/17/2019 7:39:00 AM,005XX N LEAMINGTON AVE,BURGLARY,RESIDENCE,FALSE,FALSE,1532,15,37,25,,,2019,06/24/2019 4:14:57 PM,,,,
2649,11725699,06/17/2019 7:30:00 AM,032XX S WELLS ST,THEFT,ALLEY,FALSE,FALSE,915,9,11,34,,,2019,06/24/2019 4:14:57 PM,,,,
2650,11726048,06/17/2019 7:30:00 AM,046XX W MONTROSE AVE,THEFT,CTA GARAGE / OTHER PROPERTY,TRUE,FALSE,1722,17,39,16,,,2019,06/24/2019 4:14:57 PM,,,,
2651,11729202,06/17/2019 7:30:00 AM,059XX S MAY ST,BATTERY,APARTMENT,FALSE,TRUE,712,7,16,68,,,2019,06/24/2019 4:14:57 PM,,,,
2652,11728697,06/17/2019 7:30:00 AM,022XX W HIRSCH ST,BATTERY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1424,14,1,24,,,2019,06/24/2019 4:14:57 PM,,,,
2653,11728880,06/17/2019 7:25:00 AM,102XX S LA SALLE ST,BURGLARY,RESIDENCE,FALSE,FALSE,511,5,9,49,,,2019,06/24/2019 4:14:57 PM,,,,
2654,11725511,06/17/2019 7:15:00 AM,050XX S DREXEL BLVD,THEFT,RESIDENCE,FALSE,FALSE,222,2,4,39,,,2019,06/24/2019 4:14:57 PM,,,,
2655,11727041,06/17/2019 7:15:00 AM,021XX W FOSTER AVE,BURGLARY,RESIDENCE-GARAGE,FALSE,FALSE,2012,20,40,4,,,2019,06/24/2019 4:14:57 PM,,,,
2656,11725379,06/17/2019 7:10:00 AM,094XX S ASHLAND AVE,THEFT,GROCERY FOOD STORE,TRUE,FALSE,2221,22,21,73,,,2019,06/24/2019 4:14:57 PM,,,,
2657,11729085,06/17/2019 7:00:00 AM,001XX N MICHIGAN AVE,THEFT,BARBERSHOP,FALSE,FALSE,114,1,42,32,,,2019,06/24/2019 4:14:57 PM,,,,
2659,11727301,06/17/2019 7:00:00 AM,012XX S HALSTED ST,THEFT,APARTMENT,FALSE,FALSE,1232,12,11,28,,,2019,06/24/2019 4:14:57 PM,,,,
2660,11725459,06/17/2019 7:00:00 AM,052XX S KEDZIE AVE,BATTERY,APARTMENT,FALSE,TRUE,822,8,14,63,,,2019,06/24/2019 4:14:57 PM,,,,
2661,11733901,06/17/2019 7:00:00 AM,051XX N KENMORE AVE,THEFT,STREET,FALSE,FALSE,2024,20,48,3,,,2019,06/25/2019 4:19:57 PM,,,,
2662,11725502,06/17/2019 6:50:00 AM,003XX N DEARBORN ST,BATTERY,CTA TRAIN,FALSE,FALSE,1831,18,42,8,,,2019,06/24/2019 4:14:57 PM,,,,
2663,11725354,06/17/2019 6:50:00 AM,0000X W ERIE ST,THEFT,ATHLETIC CLUB,FALSE,FALSE,1832,18,42,8,,,2019,06/24/2019 4:14:57 PM,,,,
2664,11725334,06/17/2019 6:50:00 AM,064XX N HAMILTON AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2412,24,50,2,,,2019,06/24/2019 4:14:57 PM,,,,
2665,11725422,06/17/2019 6:50:00 AM,062XX S DREXEL AVE,BATTERY,RESIDENCE,TRUE,FALSE,313,3,20,42,,,2019,06/24/2019 4:14:57 PM,,,,
2666,11725343,06/17/2019 6:40:00 AM,005XX W LAKE ST,THEFT,CTA PLATFORM,FALSE,FALSE,1214,12,42,28,,,2019,06/24/2019 4:14:57 PM,,,,
2667,11725584,06/17/2019 6:40:00 AM,068XX S SANGAMON ST,BATTERY,APARTMENT,FALSE,TRUE,723,7,6,68,,,2019,06/24/2019 4:14:57 PM,,,,
2668,11726614,06/17/2019 6:36:00 AM,003XX W 109TH PL,BATTERY,"SCHOOL, PUBLIC, GROUNDS",FALSE,TRUE,513,5,34,49,,,2019,06/24/2019 4:14:57 PM,,,,
2669,11726570,06/17/2019 6:30:00 AM,079XX S HERMITAGE AVE,CRIMINAL TRESPASS,APARTMENT,FALSE,FALSE,611,6,17,71,,,2019,06/24/2019 4:14:57 PM,,,,
2670,11725317,06/17/2019 6:30:00 AM,082XX S CLYDE AVE,THEFT,STREET,FALSE,FALSE,414,4,8,46,,,2019,06/24/2019 4:14:57 PM,,,,
2671,11725663,06/17/2019 6:30:00 AM,010XX N FRANCISCO AVE,BATTERY,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,1211,12,26,24,,,2019,06/24/2019 4:14:57 PM,,,,
2672,11725526,06/17/2019 6:26:00 AM,019XX N MONTICELLO AVE,BATTERY,SIDEWALK,FALSE,FALSE,2535,25,26,22,,,2019,06/24/2019 4:14:57 PM,,,,
2674,11725449,06/17/2019 6:21:00 AM,0000X E HURON ST,THEFT,RESIDENCE,FALSE,FALSE,1834,18,42,8,,,2019,06/24/2019 4:14:57 PM,,,,
2675,11725337,06/17/2019 6:20:00 AM,072XX S TALMAN AVE,BATTERY,RESIDENCE,TRUE,TRUE,831,8,18,66,,,2019,06/24/2019 4:14:57 PM,,,,
2676,11726069,06/17/2019 6:15:00 AM,025XX S CALUMET AVE,DECEPTIVE PRACTICE,,FALSE,FALSE,133,1,4,33,,,2019,06/24/2019 4:14:57 PM,,,,
2678,11727314,06/17/2019 6:03:00 AM,012XX N LAMON AVE,DECEPTIVE PRACTICE,,FALSE,FALSE,2533,25,37,25,,,2019,06/24/2019 4:14:57 PM,,,,
2680,11725867,06/17/2019 6:00:00 AM,032XX N WILTON AVE,THEFT,APARTMENT,FALSE,FALSE,1924,19,44,6,,,2019,06/24/2019 4:14:57 PM,,,,
2681,11725345,06/17/2019 6:00:00 AM,002XX W 104TH ST,BATTERY,RESIDENCE,TRUE,FALSE,512,5,34,49,,,2019,06/24/2019 4:14:57 PM,,,,
2682,11725344,06/17/2019 6:00:00 AM,136XX S BRAINARD AVE,BATTERY,RESIDENCE,TRUE,FALSE,433,4,10,55,,,2019,06/24/2019 4:14:57 PM,,,,
2686,11725524,06/17/2019 5:45:00 AM,018XX N MC VICKER AVE,BATTERY,ALLEY,FALSE,FALSE,2513,25,29,25,,,2019,06/24/2019 4:14:57 PM,,,,
2688,11725313,06/17/2019 5:30:00 AM,038XX W FILLMORE ST,BATTERY,APARTMENT,FALSE,TRUE,1133,11,24,29,,,2019,06/24/2019 4:14:57 PM,,,,
2689,11725285,06/17/2019 5:26:00 AM,002XX W 111TH PL,BATTERY,RESIDENCE,FALSE,TRUE,522,5,34,49,,,2019,06/24/2019 4:14:57 PM,,,,
2692,11725278,06/17/2019 4:47:00 AM,071XX S NORMAL BLVD,BATTERY,RESIDENCE,FALSE,TRUE,732,7,6,68,,,2019,06/24/2019 4:14:57 PM,,,,
2695,11725263,06/17/2019 4:29:00 AM,042XX W CULLERTON ST,BATTERY,APARTMENT,FALSE,TRUE,1012,10,24,29,,,2019,06/24/2019 4:14:57 PM,,,,
2698,11726312,06/17/2019 4:01:00 AM,068XX S ROCKWELL ST,BATTERY,RESIDENCE,FALSE,TRUE,832,8,17,66,,,2019,06/24/2019 4:14:57 PM,,,,
2700,11726071,06/17/2019 4:00:00 AM,001XX N MICHIGAN AVE,THEFT,HOTEL/MOTEL,FALSE,FALSE,111,1,42,32,,,2019,06/24/2019 4:14:57 PM,,,,
2701,11735273,06/17/2019 4:00:00 AM,067XX N SHERIDAN RD,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,2432,24,49,1,,,2019,06/26/2019 4:18:16 PM,,,,
2702,11725310,06/17/2019 3:48:00 AM,019XX W OGDEN AVE,BATTERY,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,1231,12,27,28,,,2019,06/24/2019 4:14:57 PM,,,,
2703,11725274,06/17/2019 3:45:00 AM,055XX S TROY ST,CRIMINAL TRESPASS,APARTMENT,FALSE,FALSE,824,8,14,63,,,2019,06/24/2019 4:14:57 PM,,,,
2708,11725881,06/17/2019 3:24:00 AM,048XX S ASHLAND AVE,BURGLARY,SMALL RETAIL STORE,FALSE,FALSE,933,9,20,61,,,2019,06/24/2019 4:14:57 PM,,,,
2709,11725340,06/17/2019 3:15:00 AM,004XX N SACRAMENTO BLVD,WEAPONS VIOLATION,STREET,FALSE,FALSE,1221,12,27,23,,,2019,06/24/2019 4:14:57 PM,,,,
2710,11725219,06/17/2019 3:11:00 AM,008XX E 56TH ST,WEAPONS VIOLATION,STREET,FALSE,FALSE,235,2,5,41,,,2019,06/24/2019 4:14:57 PM,,,,
2711,11725292,06/17/2019 3:02:00 AM,085XX W RASCHER AVE,BURGLARY,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,1614,16,41,76,,,2019,06/24/2019 4:14:57 PM,,,,
2712,11725824,06/17/2019 3:00:00 AM,078XX S CORNELL AVE,BATTERY,RESIDENCE,TRUE,TRUE,411,4,8,43,,,2019,06/24/2019 4:14:57 PM,,,,
2715,11726174,06/17/2019 3:00:00 AM,016XX E 77TH ST,BURGLARY,APARTMENT,FALSE,FALSE,414,4,8,43,,,2019,06/24/2019 4:14:57 PM,,,,
2716,11725249,06/17/2019 2:58:00 AM,048XX N NEW ENGLAND AVE,BURGLARY,RESIDENCE,FALSE,FALSE,1613,16,41,10,,,2019,06/24/2019 4:14:57 PM,,,,
2717,11725233,06/17/2019 2:55:00 AM,008XX W 115TH ST,BURGLARY,SMALL RETAIL STORE,FALSE,FALSE,524,5,34,53,,,2019,06/24/2019 4:14:57 PM,,,,
2718,11725612,06/17/2019 2:54:00 AM,032XX N TALMAN AVE,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1733,17,33,21,,,2019,06/24/2019 4:14:57 PM,,,,
2719,11726042,06/17/2019 2:54:00 AM,032XX N TALMAN AVE,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1733,17,33,21,,,2019,06/24/2019 4:14:57 PM,,,,
2720,11725239,06/17/2019 2:45:00 AM,106XX S TORRENCE AVE,BATTERY,SIDEWALK,FALSE,FALSE,434,4,10,51,,,2019,06/24/2019 4:14:57 PM,,,,
2722,11725222,06/17/2019 2:37:00 AM,048XX N DRAKE AVE,WEAPONS VIOLATION,STREET,FALSE,FALSE,1712,17,33,14,,,2019,06/24/2019 4:14:57 PM,,,,
2724,11726513,06/17/2019 2:30:00 AM,063XX S THROOP ST,THEFT,STREET,FALSE,FALSE,724,7,16,67,,,2019,06/24/2019 4:14:57 PM,,,,
2726,11727558,06/17/2019 2:20:00 AM,047XX W MAYPOLE AVE,THEFT,RESIDENCE,FALSE,TRUE,1113,11,28,25,,,2019,06/24/2019 4:14:57 PM,,,,
2729,11725217,06/17/2019 2:18:00 AM,075XX N PAULINA ST,BATTERY,CTA PLATFORM,FALSE,FALSE,2422,24,49,1,,,2019,06/24/2019 4:14:57 PM,,,,
2734,11726301,06/17/2019 2:00:00 AM,042XX S WABASH AVE,BATTERY,RESIDENCE,FALSE,TRUE,213,2,3,38,,,2019,06/24/2019 4:14:57 PM,,,,
2735,11725236,06/17/2019 2:00:00 AM,023XX N MILWAUKEE AVE,BATTERY,BAR OR TAVERN,TRUE,FALSE,1414,14,1,22,,,2019,06/24/2019 4:14:57 PM,,,,
2740,11726236,06/17/2019 1:50:00 AM,003XX S DEARBORN ST,BATTERY,CTA PLATFORM,TRUE,FALSE,113,1,4,32,,,2019,06/24/2019 4:14:57 PM,,,,
2742,11725243,06/17/2019 1:45:00 AM,006XX W PERSHING RD,WEAPONS VIOLATION,STREET,TRUE,FALSE,925,9,11,61,,,2019,06/24/2019 4:14:57 PM,,,,
2744,11726367,06/17/2019 1:40:00 AM,039XX W HURON ST,BATTERY,STREET,FALSE,TRUE,1112,11,37,23,,,2019,06/24/2019 4:14:57 PM,,,,
2747,11725156,06/17/2019 1:30:00 AM,086XX S EXCHANGE AVE,BATTERY,SIDEWALK,FALSE,TRUE,423,4,10,46,,,2019,06/24/2019 4:14:57 PM,,,,
2748,11726918,06/17/2019 1:30:00 AM,036XX N HALSTED ST,THEFT,BAR OR TAVERN,FALSE,FALSE,1925,19,46,6,,,2019,06/24/2019 4:14:57 PM,,,,
2749,11725238,06/17/2019 1:30:00 AM,078XX S EAST END AVE,BATTERY,ALLEY,FALSE,FALSE,414,4,8,43,,,2019,06/24/2019 4:14:57 PM,,,,
2750,11730685,06/17/2019 1:30:00 AM,009XX W ADDISON ST,THEFT,CTA TRAIN,FALSE,FALSE,1924,19,44,6,,,2019,06/24/2019 4:14:57 PM,,,,
2752,11727485,06/17/2019 1:30:00 AM,030XX W MADISON ST,THEFT,STREET,FALSE,FALSE,1124,11,28,27,,,2019,06/24/2019 4:14:57 PM,,,,
2753,11725149,06/17/2019 1:26:00 AM,018XX S HARDING AVE,BATTERY,APARTMENT,FALSE,TRUE,1014,10,24,29,,,2019,06/24/2019 4:14:57 PM,,,,
2754,11726192,06/17/2019 1:24:00 AM,0000X S LEAMINGTON AVE,BURGLARY,RESIDENCE,FALSE,FALSE,1533,15,28,25,,,2019,06/24/2019 4:14:57 PM,,,,
2755,11725175,06/17/2019 1:23:00 AM,067XX S HONORE ST,BATTERY,RESIDENCE,FALSE,TRUE,726,7,16,67,,,2019,06/24/2019 4:14:57 PM,,,,
2756,11726286,06/17/2019 1:20:00 AM,089XX S EGGLESTON AVE,BATTERY,RESIDENCE,FALSE,TRUE,2223,22,21,71,,,2019,06/24/2019 4:14:57 PM,,,,
2760,11725261,06/17/2019 1:00:00 AM,005XX N LAKE SHORE DR,BATTERY,RESIDENCE,FALSE,TRUE,1834,18,42,8,,,2019,06/24/2019 4:14:57 PM,,,,
2763,11725221,06/17/2019 12:54:00 AM,051XX S SACRAMENTO AVE,WEAPONS VIOLATION,STREET,TRUE,FALSE,923,9,14,63,,,2019,06/24/2019 4:14:57 PM,,,,
2764,11725404,06/17/2019 12:53:00 AM,0000X N LOTUS AVE,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1522,15,29,25,,,2019,06/24/2019 4:14:57 PM,,,,
2769,11725214,06/17/2019 12:29:00 AM,049XX S MILLARD AVE,BATTERY,SIDEWALK,FALSE,TRUE,821,8,14,62,,,2019,06/24/2019 4:14:57 PM,,,,
2771,11725152,06/17/2019 12:23:00 AM,054XX S KEDZIE AVE,BATTERY,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,923,9,14,63,,,2019,06/24/2019 4:14:57 PM,,,,
2775,11725170,06/17/2019 12:16:00 AM,044XX N ELSTON AVE,BATTERY,STREET,FALSE,TRUE,1722,17,39,16,,,2019,06/24/2019 4:14:57 PM,,,,
2777,11725107,06/17/2019 12:12:00 AM,002XX W 103RD ST,CRIMINAL TRESPASS,GAS STATION,TRUE,FALSE,511,5,9,49,,,2019,06/24/2019 4:14:57 PM,,,,
2779,11725180,06/17/2019 12:08:00 AM,053XX S MARYLAND AVE,THEFT,RESIDENCE,FALSE,TRUE,233,2,5,41,,,2019,06/24/2019 4:14:57 PM,,,,
2780,11725191,06/17/2019 12:07:00 AM,092XX S LA SALLE ST,BATTERY,RESIDENCE,FALSE,TRUE,634,6,21,49,,,2019,06/24/2019 4:14:57 PM,,,,
2781,11728467,06/17/2019 12:01:00 AM,093XX S RACINE AVE,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,2222,22,21,73,,,2019,06/24/2019 4:14:57 PM,,,,
2782,11725177,06/17/2019 12:01:00 AM,062XX S GREEN ST,BATTERY,RESIDENCE,FALSE,TRUE,712,7,16,68,,,2019,06/24/2019 4:14:57 PM,,,,
2784,11726026,06/17/2019 12:01:00 AM,067XX N MAPLEWOOD AVE,THEFT,STREET,FALSE,FALSE,2412,24,50,2,,,2019,06/24/2019 4:14:57 PM,,,,
2785,11725125,06/17/2019 12:01:00 AM,055XX N BROADWAY,BATTERY,SIDEWALK,FALSE,FALSE,2023,20,48,77,,,2019,06/24/2019 4:14:57 PM,,,,
2788,11725361,06/17/2019 12:01:00 AM,080XX S SPAULDING AVE,CRIMINAL TRESPASS,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,834,8,18,70,,,2019,06/24/2019 4:14:57 PM,,,,
2789,11725564,06/17/2019 12:01:00 AM,028XX W WASHINGTON BLVD,THEFT,HOTEL/MOTEL,FALSE,FALSE,1222,12,27,27,,,2019,06/24/2019 4:14:57 PM,,,,
2791,11736806,06/17/2019 12:00:00 AM,053XX N LAKEWOOD AVE,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,2013,20,48,77,,,2019,06/27/2019 4:09:07 PM,,,,
2793,11725536,06/17/2019 12:00:00 AM,0000X E GARFIELD BLVD,BATTERY,APARTMENT,FALSE,TRUE,225,2,20,40,,,2019,06/24/2019 4:14:57 PM,,,,
2797,11726982,06/17/2019 12:00:00 AM,010XX W LAWRENCE AVE,DECEPTIVE PRACTICE,BAR OR TAVERN,FALSE,FALSE,2024,20,46,3,,,2019,06/24/2019 4:14:57 PM,,,,
2799,11725202,06/16/2019 11:53:00 PM,064XX S MARYLAND AVE,WEAPONS VIOLATION,ALLEY,FALSE,FALSE,312,3,20,42,,,2019,06/23/2019 4:06:04 PM,,,,
2800,11725476,06/16/2019 11:48:00 PM,018XX W 35TH ST,DECEPTIVE PRACTICE,RESIDENCE,FALSE,TRUE,912,9,12,59,,,2019,06/23/2019 4:06:04 PM,,,,
2802,11725073,06/16/2019 11:46:00 PM,006XX N AVERS AVE,THEFT,APARTMENT,FALSE,FALSE,1122,11,27,23,,,2019,06/23/2019 4:06:04 PM,,,,
2805,11725255,06/16/2019 11:45:00 PM,023XX W SUNNYSIDE AVE,BATTERY,PARK PROPERTY,FALSE,FALSE,1911,19,47,4,,,2019,06/23/2019 4:06:04 PM,,,,
2808,11725158,06/16/2019 11:30:00 PM,022XX E 93RD ST,THEFT,STREET,FALSE,FALSE,413,4,7,48,,,2019,06/23/2019 4:06:04 PM,,,,
2809,11725330,06/16/2019 11:30:00 PM,053XX S LAKE PARK AVE,THEFT,OTHER,FALSE,FALSE,234,2,5,41,,,2019,06/23/2019 4:06:04 PM,,,,
2810,11725323,06/16/2019 11:29:00 PM,0000X W 111TH ST,BATTERY,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,522,5,34,49,,,2019,06/23/2019 4:06:04 PM,,,,
2811,11725109,06/16/2019 11:27:00 PM,088XX S COTTAGE GROVE AVE,NARCOTICS,STREET,TRUE,FALSE,632,6,8,44,,,2019,06/23/2019 4:06:04 PM,,,,
2812,11725095,06/16/2019 11:26:00 PM,015XX S KEELER AVE,BATTERY,APARTMENT,FALSE,TRUE,1012,10,24,29,,,2019,06/23/2019 4:06:04 PM,,,,
2815,11725111,06/16/2019 11:24:00 PM,040XX S CALUMET AVE,BATTERY,ALLEY,TRUE,FALSE,213,2,3,38,,,2019,06/23/2019 4:06:04 PM,,,,
2816,11725192,06/16/2019 11:21:00 PM,005XX E 88TH PL,THEFT,RESIDENCE,FALSE,TRUE,632,6,9,44,,,2019,06/23/2019 4:06:04 PM,,,,
2818,11725103,06/16/2019 11:20:00 PM,005XX W ROOSEVELT RD,CRIMINAL TRESPASS,OTHER,TRUE,FALSE,124,1,11,28,,,2019,06/24/2019 4:06:39 PM,,,,
2819,11725112,06/16/2019 11:18:00 PM,023XX W ARMITAGE AVE,NARCOTICS,STREET,TRUE,FALSE,1432,14,32,22,,,2019,06/23/2019 4:06:04 PM,,,,
2820,11725145,06/16/2019 11:17:00 PM,022XX W BELMONT AVE,BATTERY,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",FALSE,FALSE,1931,19,32,5,,,2019,06/23/2019 4:06:04 PM,,,,
2822,11725167,06/16/2019 11:17:00 PM,020XX W 68TH PL,BATTERY,STREET,FALSE,FALSE,726,7,16,67,,,2019,06/23/2019 4:06:04 PM,,,,
2823,11725094,06/16/2019 11:15:00 PM,012XX S WABASH AVE,BATTERY,RESTAURANT,FALSE,FALSE,131,1,3,33,,,2019,06/23/2019 4:06:04 PM,,,,
2824,11725148,06/16/2019 11:15:00 PM,106XX S SAWYER AVE,BATTERY,STREET,TRUE,FALSE,2211,22,19,74,,,2019,06/23/2019 4:06:04 PM,,,,
2825,11725227,06/16/2019 11:15:00 PM,001XX N STATE ST,BURGLARY,DEPARTMENT STORE,FALSE,FALSE,111,1,42,32,,,2019,06/23/2019 4:06:04 PM,,,,
2826,11725155,06/16/2019 11:12:00 PM,018XX S ST LOUIS AVE,BATTERY,APARTMENT,FALSE,TRUE,1021,10,24,29,,,2019,06/23/2019 4:06:04 PM,,,,
2828,11727555,06/16/2019 11:05:00 PM,032XX W MAYPOLE AVE,BATTERY,STREET,FALSE,TRUE,1123,11,28,27,,,2019,06/23/2019 4:06:04 PM,,,,
2829,11725176,06/16/2019 11:00:00 PM,002XX W 104TH ST,BATTERY,RESIDENCE,FALSE,TRUE,512,5,34,49,,,2019,06/23/2019 4:06:04 PM,,,,
2832,11725121,06/16/2019 11:00:00 PM,035XX W GRENSHAW ST,THEFT,APARTMENT,FALSE,FALSE,1133,11,24,29,,,2019,06/23/2019 4:06:04 PM,,,,
2833,11728374,06/16/2019 11:00:00 PM,022XX N CALIFORNIA AVE,THEFT,CTA PLATFORM,FALSE,FALSE,1431,14,1,22,,,2019,06/23/2019 4:06:04 PM,,,,
2834,11725791,06/16/2019 11:00:00 PM,005XX N CLARK ST,THEFT,TAVERN/LIQUOR STORE,FALSE,FALSE,1831,18,42,8,,,2019,06/23/2019 4:06:04 PM,,,,
2835,11727021,06/16/2019 11:00:00 PM,002XX N MASON AVE,THEFT,RESIDENCE,FALSE,FALSE,1512,15,29,25,,,2019,06/23/2019 4:06:04 PM,,,,
2836,11725985,06/16/2019 11:00:00 PM,081XX S MERRILL AVE,THEFT,STREET,FALSE,FALSE,414,4,8,46,,,2019,06/23/2019 4:06:04 PM,,,,
2838,11725183,06/16/2019 10:53:00 PM,036XX E 106TH ST,BATTERY,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,432,4,10,52,,,2019,06/23/2019 4:06:04 PM,,,,
2839,11725118,06/16/2019 10:50:00 PM,060XX S CAMPBELL AVE,BATTERY,RESIDENCE,FALSE,TRUE,825,8,16,66,,,2019,06/23/2019 4:06:04 PM,,,,
2840,11725116,06/16/2019 10:50:00 PM,059XX S WINCHESTER AVE,NARCOTICS,SIDEWALK,TRUE,FALSE,714,7,16,67,,,2019,06/23/2019 4:06:04 PM,,,,
2841,11725120,06/16/2019 10:46:00 PM,050XX W WASHINGTON BLVD,BATTERY,RESIDENCE,FALSE,TRUE,1532,15,28,25,,,2019,06/23/2019 4:06:04 PM,,,,
2842,11725090,06/16/2019 10:46:00 PM,015XX N WALLER AVE,BATTERY,RESIDENCE,FALSE,TRUE,2531,25,29,25,,,2019,06/23/2019 4:06:04 PM,,,,
2843,11725260,06/16/2019 10:45:00 PM,009XX W BELMONT AVE,BATTERY,CTA STATION,FALSE,FALSE,1933,19,44,6,,,2019,06/26/2019 4:10:52 PM,,,,
2844,11725078,06/16/2019 10:43:00 PM,003XX N AVERS AVE,NARCOTICS,ALLEY,TRUE,FALSE,1122,11,37,26,,,2019,06/23/2019 4:06:04 PM,,,,
2850,11725295,06/16/2019 10:30:00 PM,082XX S SACRAMENTO AVE,THEFT,STREET,FALSE,FALSE,835,8,18,70,,,2019,06/23/2019 4:06:04 PM,,,,
2855,11725164,06/16/2019 10:30:00 PM,063XX S ADA ST,BATTERY,APARTMENT,FALSE,TRUE,724,7,16,67,,,2019,06/23/2019 4:06:04 PM,,,,
2856,11725165,06/16/2019 10:30:00 PM,055XX S BISHOP ST,BATTERY,STREET,FALSE,TRUE,713,7,16,67,,,2019,06/23/2019 4:06:04 PM,,,,
2859,11726108,06/16/2019 10:30:00 PM,007XX W ADAMS ST,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1232,12,27,28,,,2019,06/23/2019 4:06:04 PM,,,,
2860,11725231,06/16/2019 10:28:00 PM,010XX N RUSH ST,WEAPONS VIOLATION,STREET,TRUE,FALSE,1824,18,42,8,,,2019,06/23/2019 4:06:04 PM,,,,
2861,11725113,06/16/2019 10:22:00 PM,0000X W TERMINAL ST,BATTERY,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,TRUE,FALSE,1653,16,41,76,,,2019,06/23/2019 4:06:04 PM,,,,
2862,11725119,06/16/2019 10:18:00 PM,039XX W CONGRESS PKWY,BATTERY,APARTMENT,FALSE,TRUE,1132,11,28,26,,,2019,06/23/2019 4:06:04 PM,,,,
2865,11725067,06/16/2019 10:14:00 PM,092XX S HARVARD AVE,WEAPONS VIOLATION,STREET,TRUE,FALSE,634,6,21,49,,,2019,06/23/2019 4:06:04 PM,,,,
2868,11725235,06/16/2019 10:06:00 PM,013XX S LYNN WHITE DR,BATTERY,PARK PROPERTY,FALSE,TRUE,132,1,4,33,,,2019,06/23/2019 4:06:04 PM,,,,
2869,11725082,06/16/2019 10:05:00 PM,041XX W JACKSON BLVD,BATTERY,SIDEWALK,TRUE,TRUE,1115,11,28,26,,,2019,06/23/2019 4:06:04 PM,,,,
2870,11725838,06/16/2019 10:00:00 PM,025XX N MILWAUKEE AVE,THEFT,STREET,FALSE,FALSE,1414,14,32,22,,,2019,06/23/2019 4:06:04 PM,,,,
2873,11725822,06/16/2019 10:00:00 PM,047XX W WEST END AVE,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1113,11,28,25,,,2019,06/23/2019 4:06:04 PM,,,,
2874,11726182,06/16/2019 10:00:00 PM,007XX S CLAREMONT AVE,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,1225,12,28,28,,,2019,06/23/2019 4:06:04 PM,,,,
2875,11725367,06/16/2019 10:00:00 PM,038XX N MONTICELLO AVE,BURGLARY,STREET,FALSE,FALSE,1732,17,45,16,,,2019,06/23/2019 4:06:04 PM,,,,
2878,11725163,06/16/2019 10:00:00 PM,070XX S PEORIA ST,BATTERY,RESIDENCE,FALSE,FALSE,733,7,6,68,,,2019,06/23/2019 4:06:04 PM,,,,
2879,11725796,06/16/2019 10:00:00 PM,033XX N HALSTED ST,DECEPTIVE PRACTICE,STREET,FALSE,FALSE,1924,19,44,6,,,2019,06/23/2019 4:06:04 PM,,,,
